product,vendor,category,price,ranking,skin_type,skin_type_code,skin_problem_code
beauty-of-joseon-relief-sun-rice-probiotics,Beauty of Joseon,Sunscreen,16.15,4.77,Normal,N,
cosrx-acne-pimple-master-patches,COSRX,Face Mask,4.36,4.5,"Oily, Acne",O,A
beauty-of-joseon-dynasty-cream,Beauty of Joseon,Moisturisers,19.45,4.62,Normal,N,
abib-mild-acidic-ph-sheet-mask,Abib,Face Mask,2.85,4.92,Normal,N,
abib-gummy-sheet-mask,Abib,Face Mask,2.85,4.82,Normal,N,
abib-acne-foam-cleanser-heartleaf-foam,Abib,Cleanser,16.6,4.35,"Oily, Acne",O,A
abib-heartleaf-spot-pad-calming-touch,Abib,Toner,22.48,4.83,Normal,N,
abib-heartleaf-calming-toner-skin-booster,Abib,Toner,21.18,4.25,Normal,N,
abib-sedum-hyaluron-sunscreen-spf50-pa,Abib,Sunscreen,23.95,4.88,"Sensitive, Dry, Normal","D, N",S
abib-quick-sunstick-protection-bar-spf50,Abib,Sunscreen,15.43,4.8,"Dry, Normal","D, N",
abib-hydration-creme-water-tube,Abib,Moisturisers,25.42,4.67,Normal,N,
abib-heartleaf-essence-calming-pump-1,Abib,Essence,25.43,5.0,Normal,N,
abib-hydration-gel-water-tube,Abib,Moisturisers,25.42,5.0,Normal,N,
abib-heartleaf-sun-essence-calming-drop,Abib,Sunscreen,24.44,4.5,Normal,N,
abib-airy-sunstick-smoothing-bar,Abib,Sunscreen,23.46,3.0,"Sensitive, Normal",N,S
abib-luminous-serum-melting-vita,Abib,Serum,34.95,4.0,Normal,N,
about-me-rice-makgeolli-gel-mask,ABOUT ME,Face Mask,2.95,4.86,"Sensitive, Dry, Normal","D, N",S
about-me-be-clean-water-sun-spf50-pa,ABOUT ME,Sunscreen,19.95,4.33,Normal,N,
about-me-soop-calming-aqua-cream,ABOUT ME,Moisturisers,28.95,5.0,Normal,N,
about-me-soop-calming-aqua-mist,ABOUT ME,Toner,18.95,5.0,Normal,N,
about-me-soop-calming-aqua-serum,ABOUT ME,Serum,24.95,5.0,Normal,N,
about-me-soop-calming-aqua-toner,ABOUT ME,Toner,21.95,5.0,Normal,N,
about-me-be-clean-tone-up-sun-spf50-pa,ABOUT ME,Sunscreen,23.95,0.0,Normal,N,
about-me-kakadu-c-dark-spot-serum,ABOUT ME,Serum,26.95,5.0,"Sensitive, Acne, Normal",N,"S, A"
acwell-licorice-ph-balancing-cleansing-toner,ACWELL,Toner,12.19,4.75,Normal,N,
acwell-licorice-ph-balancing-advance-serum,ACWELL,Serum,22.48,4.4,Normal,N,
acwell-ph-balancing-bubble-free-cleansing-gel,ACWELL,Cleanser,17.58,4.0,Normal,N,
amuse-vegan-peach-cream-spf30pa,AMUSE,Moisturisers,23.95,4.5,Normal,N,
amuse-seoul-seulgis-pick-dew-tint-gift-set,AMUSE,Set,48.95,5.0,Normal,N,
anua-heartleaf-77-soothing-toner,Anua,Toner,16.25,4.57,Normal,N,
anua-heartleaf-pore-control-cleansing-oil,Anua,Cleanser,18.85,4.52,"Normal, Combination","N, C",
anua-heartleaf-quercetinol-pore-deep-cleansing-foam,Anua,Cleanser,16.45,4.59,"Acne, Normal",N,A
