product,vendor,category,price,ranking,skin_type
beauty-of-joseon-relief-sun-rice-probiotics,Beauty of Joseon,Sunscreen,16.15,4.77,All skin types
cosrx-acne-pimple-master-patches,COSRX,Face Mask,4.36,4.5,"Oily, Acne prone skin types"
beauty-of-joseon-dynasty-cream,Beauty of Joseon,Moisturisers,19.45,4.62,All skin types
abib-mild-acidic-ph-sheet-mask,Abib,Face Mask,2.85,4.92,All skin types
abib-gummy-sheet-mask,Abib,Face Mask,2.85,4.82,All skin types
abib-acne-foam-cleanser-heartleaf-foam,Abib,Cleanser,16.6,4.35,"﻿Oily, Acne prone skin types"
abib-heartleaf-spot-pad-calming-touch,Abib,Toner,22.48,4.83,﻿All skin types
abib-heartleaf-calming-toner-skin-booster,Abib,Toner,21.18,4.25,All skin types
abib-sedum-hyaluron-sunscreen-spf50-pa,Abib,Sunscreen,23.95,4.88,"Sensitive, dry skin, all skin types"
abib-quick-sunstick-protection-bar-spf50,Abib,Sunscreen,15.43,4.8,"Dry skin, all skin types"
abib-hydration-creme-water-tube,Abib,Moisturisers,25.42,4.67,All skin types
abib-heartleaf-essence-calming-pump-1,Abib,Essence,25.43,5.0,All skin types
abib-hydration-gel-water-tube,Abib,Moisturisers,25.42,5.0,All skin types
abib-heartleaf-sun-essence-calming-drop,Abib,Sunscreen,24.44,4.5,All skin types
abib-hand-creme-type-g-fragrant-tube,Abib,Hand Care,14.95,3.67,All skin types
abib-airy-sunstick-smoothing-bar,Abib,Sunscreen,23.46,3.0,"Sensitive skin, all skin types"
abib-brightening-cushion-compact-velvet-veil-spf50-pa-with-refill,Abib,Make-up,22.95,4.67,All skin types
abib-luminous-serum-melting-vita,Abib,Serum,34.95,4.0,﻿All skin types
about-me-rice-makgeolli-gel-mask,ABOUT ME,Face Mask,2.95,4.86,"Sensitive, dry skin, all skin types"
about-me-be-clean-water-sun-spf50-pa,ABOUT ME,Sunscreen,19.95,4.33,All skin types
about-me-soop-calming-aqua-cream,ABOUT ME,Moisturisers,28.95,5.0,All skin types
about-me-soop-calming-aqua-mist,ABOUT ME,Toner,18.95,5.0,All skin types
about-me-soop-calming-aqua-serum,ABOUT ME,Serum,24.95,5.0,All skin types
about-me-soop-calming-aqua-toner,ABOUT ME,Toner,21.95,5.0,All skin types
about-me-be-clean-tone-up-sun-spf50-pa,ABOUT ME,Sunscreen,23.95,0.0,All skin types
about-me-kakadu-c-dark-spot-serum,ABOUT ME,Serum,26.95,5.0,"Sensitive skin, fungal acne safe, all skin types"
acwell-licorice-ph-balancing-cleansing-toner,ACWELL,Toner,12.19,4.75,All skin types
acwell-licorice-ph-balancing-intensive-eye-cream,ACWELL,Eye Care,24.44,4.75,All skin types
acwell-licorice-ph-balancing-advance-serum,ACWELL,Serum,22.48,4.4,All skin types
acwell-ph-balancing-bubble-free-cleansing-gel,ACWELL,Cleanser,17.58,4.0,All skin types
amuse-dew-tint,AMUSE,Lip Care,19.95,4.69,All skin types
dew-jelly-fit-tint,AMUSE,Lip Care,19.95,4.73,All skin types
amuse-dew-power-vegan-cushion-spf50,AMUSE,Make-up,29.95,4.41,All skin types
amuse-dew-jelly-vegan-cushion-spf-38-pa,AMUSE,Make-up,29.95,4.45,All skin types
amuse-dew-balm,AMUSE,Lip Care,16.98,4.27,All skin types
amuse-chou-velvet,AMUSE,Lip Care,19.95,4.89,All skin types
amuse-meta-fixing-vegan-cushion-spf45-pa,AMUSE,Make-up,29.95,4.56,All skin types
amuse-skin-tune-vegan-cover-cushion-spf45-pa,AMUSE,Make-up,29.95,4.59,All skin types
amuse-dew-velvet,AMUSE,Lip Care,19.95,4.38,All skin types
amuse-soft-cream-cheek,AMUSE,Make-up,16.95,5.0,All skin types
amuse-eye-vegan-sheer-palette,AMUSE,Eye Care,26.4,4.42,All skin types
amuse-eye-color-palette,AMUSE,Eye Care,28.95,3.85,All skin types
amuse-vegan-green-lip-balm,AMUSE,Lip Care,14.64,4.8,All skin types
amuse-vegan-face-all-palette,AMUSE,Make-up,26.95,4.0,All skin types
amuse-vegan-peach-cream-spf30pa,AMUSE,Moisturisers,23.95,4.5,All skin types
amuse-seoul-seulgis-pick-dew-tint-gift-set,AMUSE,Set,48.95,5.0,All skin types
anua-heartleaf-77-soothing-toner,Anua,Toner,16.25,4.57,All skin types
anua-heartleaf-pore-control-cleansing-oil,Anua,Cleanser,18.85,4.52,"Normal, combination skin types"
anua-heartleaf-quercetinol-pore-deep-cleansing-foam,Anua,Cleanser,16.45,4.59,"Acne prone skin, all skin types"
anua-heartleaf-77-clear-pad,Anua,Exfoliators,14.15,4.55,All skin types
anua-peach-70-niacin-serum,Anua,Serum,22.48,4.43,All skin types
anua-niacinamide-10-txa-4-serum,Anua,Serum,24.45,4.33,"Sensitive skin, hyperpigmentation, all skin types"
anua-heartleaf-70-daily-lotion,Anua,Moisturisers,23.46,4.46,All skin types
anua-heartleaf-70-intense-calming-cream,Anua,Moisturisers,24.95,4.58,"Sensitive skin, dry skin type"
anua-cotton-pad-for-toner,Anua,K-Beauty,3.95,4.77,All skin types
anua-peach-70-niacin-serum-mask,Anua,Face Mask,3.86,4.88,"Dry skin, sensitive skin, all skin types"
anua-silky-moisture-sun-cream,Anua,Sunscreen,19.95,4.45,"All skin types, sensitive skin"
anua-heartleaf-80-moisture-soothing-ampoule,Anua,Serum,25.95,4.61,"Dry skin, sensitive skin, fungal acne safe, all skin types"
