product,vendor,category,price,ranking,skin_type
abib-heartleaf-essence-calming-pump-1,Abib,Essence,25.43,5.0,All skin types
klavuu-white-pearlsation-enriched-divine-pearl-cream,Klavuu,Moisturisers,30.95,5.0,All skin types
klavuu-white-pearlsation-completed-revitalizing-pearl-eye-cream,Klavuu,Eye Care,32.95,5.0,All skin types
kaine-rosemary-aha-night-serum,KAINE,Serum,21.95,5.0,"Dry, sensitive skin, fungal acne safe, all skin types"
klavuu-green-pearlsation-pha-calming-serum,Klavuu,Serum,21.95,5.0,All skin types
klavuu-special-care-pearl-glow-mask,Klavuu,Face Mask,25.95,5.0,All skin types
klavuu-clear-pearlsation-pha-calming-toner,klavuu,Toner,20.95,5.0,All skin types
vt-cosmetics-cica-double-mist,VT Cosmetics,Toner,18.56,5.0,All skin types
vt-cosmetics-cica-pro-mask,VT Cosmetics,Face Mask,2.88,5.0,All skin types
vt-cosmetics-cica-skin-toner,VT Cosmetics,Toner,18.95,5.0,All skin types
vt-cosmetics-cica-mild-toner-pad,VT Cosmetics,Exfoliators,18.95,5.0,All skin types
vt-cosmetics-cica-purifying-mask,VT Cosmetics,Face Mask,23.95,5.0,All skin types
w-dressroom-dress-living-clear-perfume-no-34-always-happy-1,W.DRESSROOM,K-Beauty,8.95,5.0,All skin types
w-dressroom-dress-living-clear-perfume-autumn-edition-1,W.DRESSROOM,Perfume,9.95,5.0,All skin types
w-dressroom-dress-living-clear-perfume-no-12-very-berry,W.DRESSROOM,K-Beauty,8.95,5.0,All skin types
amuse-soft-cream-cheek,AMUSE,Make-up,16.95,5.0,All skin types
amuse-seoul-seulgis-pick-dew-tint-gift-set,AMUSE,Set,48.95,5.0,All skin types
kundal-rosa-centifolia-flower-water-pure-moist-body-mist,KUNDAL,Body Mist,13.95,5.0,All skin types
kundal-rich-soymilk-body-wash,KUNDAL,Body Care,15.95,5.0,All skin types
kundal-sea-salt-green-tea-scalp-scaler,KUNDAL,Hair Care,14.95,5.0,All skin types
jumiso-waterfull-hyaluronic-acid-toner,Jumiso,Toner,21.95,5.0,"Sensitive, dry skin, all skin types"
unleashia-red-pepper-paste-lip-balm,Unleashia,Lip Care,12.95,5.0,All skin types
unleashia-satin-wear-healthy-green-cushion-case-only-re-feel,Unleashia,Make-up,14.99,5.0,All skin types
sisua-by-unleashia-tasmanian-pepper-calming-2-piece-pad,Unleashia,Toner Pads,23.95,5.0,All skin types
unleashia-red-pepper-paste-lip-balm-sca_clone_freegift,Unleashia,Lip Care,12.95,5.0,All skin types
vt-cosmetics-cica-cream,VT Cosmetics,Moisturisers,18.56,5.0,All skin types
kundal-rich-soymilk-body-cream,KUNDAL,Body Care,15.95,5.0,All skin types
lador-moisture-balancing-conditioner,Lador,Hair Care,16.64,5.0,All skin types
lador-acv-vinegar-treatment,Lador,Hair Care,8.6,5.0,All skin types
lador-dermatical-hair-loss-shampoo-for-normal-to-dry-hair,Lador,Hair Care,19.95,5.0,All skin types
lador-wonder-bubble-shampoo,Lador,Hair Care,17.81,5.0,All skin types
lador-keratin-power-glue,Lador,Hair Care,17.51,5.0,All skin types
lador-herbalism-treatment,Lador,Hair Care,23.95,5.0,All skin types
